X,Y,DEN,icon_url
26.97642,45.97049,h,./0.png
26.9756383333333,45.9709183333333,c3,./0.png
26.975885,45.9703066666667,h pasune,./0.png
26.9759,45.970145,h pasune,./0.png
26.975965,45.9698816666667,h pasune,./0.png
26.9761116666667,45.96998,h pasune,./0.png
26.9764466666667,45.9699183333333,h pasune,./0.png
26.9767316666667,45.96994,"h 10 m mai la dreapta, paducel f mult",./0.png
26.9770816666667,45.9697366666667,h pasune impadurita,./0.png
26.9773166666667,45.969795,h pasune,./0.png
26.977665,45.9698566666667,h,./0.png
26.9778916666667,45.9700516666667,h pasune,./0.png
26.9778566666667,45.9701533333333,h pasune,./0.png
26.97789,45.9702716666667,h,./0.png
26.9781933333333,45.97033,h,./0.png
26.97855,45.970435,h pasune,./0.png
26.9788333333333,45.97051,h pasune,./0.png
26.9789883333333,45.9705633333333,h pasune,./0.png
26.9792766666667,45.970565,h pasune,./0.png
26.9795666666667,45.97051,h pasune,./0.png
26.9797633333333,45.9704666666667,h pasune,./0.png
26.9801483333333,45.970435,h pasune,./0.png
26.9803916666667,45.970455,h pasune,./0.png
26.9805616666667,45.97021,h pasune,./0.png
26.980725,45.9701133333333,h pasune,./0.png
26.9808216666667,45.9700433333333,h pasune,./0.png
26.9810033333333,45.9699766666667,h pasune,./0.png
26.98096,45.9698383333333,h pasune,./0.png
26.98085,45.9697116666667,h pasune,./0.png
26.9806083333333,45.96965,h pasune,./0.png
26.9805183333333,45.969615,h pasune,./0.png
26.9801733333333,45.9695033333333,h pasune,./0.png
26.980045,45.9693866666667,h pasune,./0.png
26.979825,45.9693683333333,h pasune,./0.png
26.9796533333333,45.9694083333333,h pasune,./0.png
26.97941,45.9693633333333,h pasune,./0.png
26.9793016666667,45.9694333333333,h pasune,./0.png
26.9792583333333,45.9694816666667,h pasune,./0.png
26.9789283333333,45.9696016666667,h pasune,./0.png
26.978715,45.9695716666667,h pasune,./0.png
26.9783966666667,45.96947,h pasune,./0.png
26.9781916666667,45.9694266666667,h,./0.png
26.9779683333333,45.969375,h,./0.png
26.977555,45.9692633333333,h pasune,./0.png
26.9773966666667,45.969255,h pasune,./0.png
26.9770883333333,45.969185,h pasune,./0.png
26.9767016666667,45.9692133333333,h pasune,./0.png
26.9764916666667,45.9691816666667,h pasune,./0.png
26.9761916666667,45.9691216666667,h pasune,./0.png
26.9759633333333,45.9691016666667,h pasune,./0.png
26.97597,45.968855,h pasune,./0.png
26.9763983333333,45.968625,h pasune,./0.png
26.9766316666667,45.9686483333333,h pasune,./0.png
26.976875,45.9686716666667,h pasune,./0.png
26.97734,45.9685716666667,h pasune,./0.png
26.9774983333333,45.9683816666667,h pasune,./0.png
26.9775733333333,45.9681366666667,h pasune,./0.png
26.9777433333333,45.9679483333333,h pasune,./0.png
26.9779766666667,45.967745,h pasune,./0.png
